X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
6.83464,46.46789,0,0,50,385,2010/01/01 00:11:27+00,,,,,,,,,,,,,,,,,,,,,
6.83424,46.46812,0,0,51,383,2010/01/01 00:11:36+00,,,,,,,,,,,,,,,,,,,,,
6.83378,46.46832,0,0,52,383,2010/01/01 00:11:45+00,,,,,,,,,,,,,,,,,,,,,
6.83333,46.46838,0,0,53,379,2010/01/01 00:11:53+00,,,,,,,,,,,,,,,,,,,,,
6.8306,46.4684,0,0,54,378,2010/01/01 00:12:40+00,,,,,,,,,,,,,,,,,,,,,
6.8301,46.46842,0,0,55,377,2010/01/01 00:12:48+00,,,,,,,,,,,,,,,,,,,,,
6.82852,46.46866,0,0,56,377,2010/01/01 00:13:16+00,,,,,,,,,,,,,,,,,,,,,
6.82804,46.46868,0,0,57,377,2010/01/01 00:13:24+00,,,,,,,,,,,,,,,,,,,,,
6.82732,46.46862,0,0,58,379,2010/01/01 00:13:37+00,,,,,,,,,,,,,,,,,,,,,
6.82678,46.46859,0,0,59,381,2010/01/01 00:13:46+00,,,,,,,,,,,,,,,,,,,,,
6.8261,46.4685,0,0,60,382,2010/01/01 00:13:58+00,,,,,,,,,,,,,,,,,,,,,
6.82597,46.46854,0,0,61,382,2010/01/01 00:14:00+00,,,,,,,,,,,,,,,,,,,,,
6.82506,46.46855,0,0,62,383,2010/01/01 00:14:16+00,,,,,,,,,,,,,,,,,,,,,
6.82372,46.46875,0,0,63,393,2010/01/01 00:14:40+00,,,,,,,,,,,,,,,,,,,,,
6.82325,46.46889,0,0,64,393,2010/01/01 00:14:48+00,,,,,,,,,,,,,,,,,,,,,
6.82294,46.46905,0,0,65,393,2010/01/01 00:14:55+00,,,,,,,,,,,,,,,,,,,,,
6.82254,46.46959,0,0,66,399,2010/01/01 00:15:10+00,,,,,,,,,,,,,,,,,,,,,
6.82228,46.46982,0,0,67,399,2010/01/01 00:15:17+00,,,,,,,,,,,,,,,,,,,,,
6.82183,46.47004,0,0,68,391,2010/01/01 00:15:27+00,,,,,,,,,,,,,,,,,,,,,
6.82097,46.47027,0,0,69,385,2010/01/01 00:15:43+00,,,,,,,,,,,,,,,,,,,,,
6.82038,46.47035,0,0,70,382,2010/01/01 00:15:53+00,,,,,,,,,,,,,,,,,,,,,
6.82004,46.47034,0,0,71,382,2010/01/01 00:15:59+00,,,,,,,,,,,,,,,,,,,,,
6.81889,46.47043,0,0,72,400,2010/01/01 00:16:18+00,,,,,,,,,,,,,,,,,,,,,
6.81637,46.47055,0,0,73,398,2010/01/01 00:17:02+00,,,,,,,,,,,,,,,,,,,,,
6.81578,46.47057,0,0,74,394,2010/01/01 00:17:12+00,,,,,,,,,,,,,,,,,,,,,
6.81509,46.47065,0,0,75,394,2010/01/01 00:17:24+00,,,,,,,,,,,,,,,,,,,,,
6.80807,46.47098,0,0,76,384,2010/01/01 00:19:24+00,,,,,,,,,,,,,,,,,,,,,
6.80729,46.4711,0,0,77,383,2010/01/01 00:19:38+00,,,,,,,,,,,,,,,,,,,,,
6.80498,46.47159,0,0,78,386,2010/01/01 00:20:20+00,,,,,,,,,,,,,,,,,,,,,
6.80396,46.47174,0,0,79,381,2010/01/01 00:20:37+00,,,,,,,,,,,,,,,,,,,,,
6.80385,46.4717,0,0,80,381,2010/01/01 00:20:40+00,,,,,,,,,,,,,,,,,,,,,
6.80149,46.4719,0,0,81,380,2010/01/01 00:21:20+00,,,,,,,,,,,,,,,,,,,,,
6.80084,46.47201,0,0,82,378,2010/01/01 00:21:32+00,,,,,,,,,,,,,,,,,,,,,
6.79897,46.47266,0,0,83,389,2010/01/01 00:22:08+00,,,,,,,,,,,,,,,,,,,,,
6.79658,46.47278,0,0,84,379,2010/01/01 00:22:49+00,,,,,,,,,,,,,,,,,,,,,
6.79585,46.47287,0,0,85,382,2010/01/01 00:23:01+00,,,,,,,,,,,,,,,,,,,,,
6.79522,46.47304,0,0,86,393,2010/01/01 00:23:13+00,,,,,,,,,,,,,,,,,,,,,
6.79434,46.47348,0,0,87,383,2010/01/01 00:23:32+00,,,,,,,,,,,,,,,,,,,,,
6.7935,46.47376,0,0,88,409,2010/01/01 00:23:48+00,,,,,,,,,,,,,,,,,,,,,
6.79088,46.47426,0,0,89,380,2010/01/01 00:24:34+00,,,,,,,,,,,,,,,,,,,,,
6.78966,46.47462,0,0,90,401,2010/01/01 00:24:57+00,,,,,,,,,,,,,,,,,,,,,
6.7891,46.47472,0,0,91,392,2010/01/01 00:25:07+00,,,,,,,,,,,,,,,,,,,,,
6.78853,46.47473,0,0,92,389,2010/01/01 00:25:17+00,,,,,,,,,,,,,,,,,,,,,
6.78532,46.47458,0,0,93,379,2010/01/01 00:26:12+00,,,,,,,,,,,,,,,,,,,,,
6.78302,46.47413,0,0,94,384,2010/01/01 00:26:53+00,,,,,,,,,,,,,,,,,,,,,
6.78259,46.47417,0,0,95,386,2010/01/01 00:27:00+00,,,,,,,,,,,,,,,,,,,,,
6.78208,46.4743,0,0,96,387,2010/01/01 00:27:09+00,,,,,,,,,,,,,,,,,,,,,
6.78143,46.47441,0,0,97,387,2010/01/01 00:27:21+00,,,,,,,,,,,,,,,,,,,,,
6.78075,46.47432,0,0,98,385,2010/01/01 00:27:33+00,,,,,,,,,,,,,,,,,,,,,
